ISO;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Estimates Start After
AFG;Afghanistan;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;207.946;201.051;218.461;252.618;272.189;330.295;389.63;440.607;543.652;611.642;666.089;639.473;630.136;594.213;520.267;529.773;499.799;499.762;516.664;356.063;352.456;410.933;2023
ALB;Albania;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;736.028;903.989;1,009.967;706.623;816.622;1,037.599;1,129.033;1,283.237;1,427.675;1,829.632;2,371.130;2,673.773;2,972.745;3,595.053;4,370.562;4,114.090;4,097.833;4,439.890;4,248.909;4,415.600;4,584.919;3,953.611;4,124.405;4,542.760;5,287.721;5,395.101;5,353.303;6,396.166;6,870.210;8,299.278;2021
DZA;Algeria;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;1,674.567;1,626.997;1,783.410;1,800.196;1,772.368;1,769.091;1,947.755;1,919.410;1,958.238;2,304.603;2,839.820;3,258.153;3,690.572;4,208.244;5,214.762;4,262.144;4,941.493;5,946.345;6,057.974;5,997.896;6,108.878;4,691.686;4,426.580;4,554.150;4,568.244;4,452.856;3,757.585;4,169.984;4,981.822;5,221.813;2019
AND;Andorra;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;49,030.229;51,957.313;45,713.970;45,630.195;46,299.282;38,877.485;39,595.317;40,017.741;42,229.903;40,688.491;36,973.845;41,806.876;41,378.881;43,809.726;2023
AGO;Angola;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;484.971;585.668;730.731;830.042;680.922;623.486;771.405;730.652;988.318;1,122.365;1,438.272;2,128.257;2,909.070;3,493.014;4,554.334;3,630.103;4,089.461;5,175.442;5,699.986;5,880.641;6,061.865;4,680.829;3,936.361;4,628.964;3,651.304;2,926.143;1,989.939;2,445.388;3,974.666;2,967.384;2021
ATG;Antigua and Barbuda;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;9,647.035;9,257.311;9,930.047;10,442.982;10,931.597;11,285.796;11,912.539;11,413.194;11,562.337;12,089.419;12,957.491;14,295.184;16,122.047;18,196.388;18,842.054;16,579.504;15,341.821;15,016.011;15,692.753;15,019.671;15,393.018;15,809.067;16,130.768;16,327.584;17,451.026;17,851.361;14,382.232;16,088.640;18,498.453;19,985.469;2022
ARG;Argentina;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;8,378.735;8,295.123;8,645.455;9,196.516;9,283.175;8,709.072;8,638.543;8,085.356;2,997.621;3,761.088;4,314.098;5,163.550;5,976.082;7,315.726;9,146.790;8,337.811;10,412.974;12,787.806;13,889.792;14,488.829;13,208.831;14,895.316;12,772.868;14,618.327;11,786.433;9,941.590;8,489.332;10,610.191;13,676.216;13,823.346;2010
ARM;Armenia;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;196.98;399.576;503.774;521.869;608.415;597.241;620.638;692.287;779.122;923.387;1,180.399;1,628.063;2,128.151;3,079.031;3,913.436;2,911.763;3,121.778;3,417.172;3,575.529;3,732.035;3,889.004;3,529.026;3,524.000;3,868.906;4,195.963;4,596.861;4,268.681;4,685.183;6,660.868;8,125.625;2020
ABW;Aruba;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;n/a;16,546.617;16,620.854;17,751.072;18,825.012;19,215.013;20,681.137;20,740.206;21,307.261;21,949.392;23,700.571;24,171.995;24,845.660;26,736.575;28,172.075;25,134.689;24,093.070;25,712.438;25,119.747;25,813.523;26,129.732;27,458.248;27,441.561;28,440.093;30,082.212;31,096.315;23,565.550;28,813.136;33,032.454;36,743.647;2021
AUS;Australia;Gross domestic product per capita, current prices;U.S. dollars;Units;See notes for:  Gross domestic product, current prices (National currency) Population (Persons).;19,748.800;20,926.032;23,171.947;23,033.050;20,394.027;21,775.529;20,913.346;19,502.104;21,701.988;27,295.431;32,863.187;36,256.942;37,980.835;45,207.756;49,198.736;45,772.165;56,587.694;67,293.136;68,489.256;65,247.836;61,647.050;51,468.795;51,821.355;55,845.011;56,441.271;54,391.307;53,249.731;64,352.012;65,513.824;64,546.866;2022
