"","DONOR","FLOW_TYPE","MEASURE","OBS_STATUS","ObsValue","PRICE_BASE","RECIPIENT","TIME_PERIOD","UNIT_MEASURE","UNIT_MULT"
"1","ALLD","D","206","A","13.11","V","SAU","2001","USD","6"
"2","ALLD","D","206","A","16.78","V","SAU","2002","USD","6"
"3","ALLD","D","206","A","13.79","V","SAU","2003","USD","6"
"4","ALLD","D","206","A","20.24","V","SAU","2004","USD","6"
"5","ALLD","D","206","A","25.11","V","SAU","2005","USD","6"
"6","ALLD","D","206","A","24.3","V","SAU","2006","USD","6"
"7","ALLD","D","206","A","-131.07","V","SAU","2007","USD","6"
"8","ALLD","D","206","A","16.72","V","SAU","1994","USD","6"
"9","ALLD","D","206","A","16.99","V","SAU","1995","USD","6"
"10","ALLD","D","206","A","14.08","V","SAU","1996","USD","6"
"11","ALLD","D","206","A","1.38","V","SAU","1997","USD","6"
"12","ALLD","D","206","A","16.59","V","SAU","1998","USD","6"
"13","ALLD","D","206","A","22.15","V","SAU","1999","USD","6"
"14","ALLD","D","206","A","21.96","V","SAU","2000","USD","6"
"15","ALLD","D","206","A","450.83","V","PER","2018","USD","6"
"16","ALLD","D","206","A","459.72","V","PER","2019","USD","6"
"17","ALLD","D","206","A","489.92","V","PER","2020","USD","6"
"18","ALLD","D","206","A","304.85","V","PER","2021","USD","6"
"19","ALLD","D","206","A","830.56","V","PER","2022","USD","6"
"20","ALLD","D","206","A","586.27","V","PER","2023","USD","6"
"21","ALLD","D","206","A","461.09","V","PER","2001","USD","6"
"22","ALLD","D","206","A","497.54","V","PER","2002","USD","6"
"23","ALLD","D","206","A","509.16","V","PER","2003","USD","6"
"24","ALLD","D","206","A","479.08","V","PER","2004","USD","6"
"25","ALLD","D","206","A","465.42","V","PER","2005","USD","6"
"26","ALLD","D","206","A","459.9","V","PER","2006","USD","6"
"27","ALLD","D","206","A","321.34","V","PER","2007","USD","6"
"28","ALLD","D","206","A","474.59","V","PER","2008","USD","6"
"29","ALLD","D","206","A","442.95","V","PER","2009","USD","6"
"30","ALLD","D","206","A","-305.61","V","PER","2010","USD","6"
"31","ALLD","D","206","A","590.72","V","PER","2011","USD","6"
"32","ALLD","D","206","A","385.56","V","PER","2012","USD","6"
"33","ALLD","D","206","A","363.66","V","PER","2013","USD","6"
"34","ALLD","D","206","A","328.3","V","PER","2014","USD","6"
"35","ALLD","D","206","A","334.83","V","PER","2015","USD","6"
"36","ALLD","D","206","A","320.2","V","PER","2016","USD","6"
"37","ALLD","D","206","A","-1.26","V","PER","2017","USD","6"
"38","ALLD","D","206","A","347.21","V","PER","1994","USD","6"
"39","ALLD","D","206","A","386.95","V","PER","1995","USD","6"
"40","ALLD","D","206","A","331.7","V","PER","1996","USD","6"
"41","ALLD","D","206","A","402.34","V","PER","1997","USD","6"
"42","ALLD","D","206","A","492.82","V","PER","1998","USD","6"
"43","ALLD","D","206","A","459.28","V","PER","1999","USD","6"
"44","ALLD","D","206","A","412.67","V","PER","2000","USD","6"
