"","DONOR","FLOW_TYPE","MEASURE","OBS_STATUS","ObsValue","PRICE_BASE","RECIPIENT","TIME_PERIOD","UNIT_MEASURE","UNIT_MULT"
"1","ALLD","D","286","A","0.15","V","MUS","2019","USD","6"
"2","ALLD","D","286","A","2.82","V","MUS","2020","USD","6"
"3","ALLD","D","286","A","2.43","V","MUS","2021","USD","6"
"4","ALLD","D","286","A","0.61","V","MUS","2022","USD","6"
"5","ALLD","D","286","A","0.64","V","MUS","2023","USD","6"
"6","ALLD","D","286","A","0.48","V","MUS","2002","USD","6"
"7","ALLD","D","286","A","-0.25","V","MUS","2003","USD","6"
"8","ALLD","D","286","A","0.49","V","MUS","2004","USD","6"
"9","ALLD","D","286","A","0.52","V","MUS","2005","USD","6"
"10","ALLD","D","286","A","0.27","V","MUS","2006","USD","6"
"11","ALLD","D","286","A","0.82","V","MUS","2007","USD","6"
"12","ALLD","D","286","A","1.06","V","MUS","2008","USD","6"
"13","ALLD","D","286","A","1.69","V","MUS","2009","USD","6"
"14","ALLD","D","286","A","1.26","V","MUS","2010","USD","6"
"15","ALLD","D","286","A","1.64","V","MUS","2011","USD","6"
"16","ALLD","D","286","A","1.46","V","MUS","2012","USD","6"
"17","ALLD","D","286","A","1.15","V","MUS","2013","USD","6"
"18","ALLD","D","286","A","0.33","V","MUS","2014","USD","6"
"19","ALLD","D","286","A","0.63","V","MUS","2015","USD","6"
"20","ALLD","D","286","A","0.33","V","MUS","2016","USD","6"
"21","ALLD","D","286","A","0.1","V","MUS","2017","USD","6"
"22","ALLD","D","286","A","0.45","V","MUS","2018","USD","6"
"23","ALLD","D","286","A","0.41","V","MUS","1994","USD","6"
"24","ALLD","D","286","A","0.58","V","MUS","1995","USD","6"
"25","ALLD","D","286","A","0.46","V","MUS","1996","USD","6"
"26","ALLD","D","286","A","1","V","MUS","1997","USD","6"
"27","ALLD","D","286","A","0.96","V","MUS","1998","USD","6"
"28","ALLD","D","286","A","0.95","V","MUS","1999","USD","6"
"29","ALLD","D","286","A","0.44","V","MUS","2000","USD","6"
"30","ALLD","D","286","A","0.45","V","MUS","2001","USD","6"
"31","ALLD","D","286","A","2.86","V","NIC","2018","USD","6"
